state_code,county_name
AK,ALEUTIANS EAST
AK,ALEUTIANS WEST
AK,ANCHORAGE
AK,BETHEL
AK,BRISTOL BAY
AK,DENALI
AK,DILLINGHAM
AK,FAIRBANKS NORTH STAR
AK,HAINES
AK,HOONAH-ANGOON
AK,JUNEAU
AK,KENAI PENINSULA
AK,KETCHIKAN GATEWAY
AK,KODIAK ISLAND
AK,LAKE AND PENINSULA
AK,MATANUSKA-SUSITNA
AK,NOME
AK,NORTH SLOPE
AK,NORTHWEST ARCTIC
AK,PETERSBURG
AK,PRINCE OF WALES-HYDER
AK,PRINCE OF WALES-OUTER KETCHIKAN
AK,SITKA
AK,SKAGWAY
AK,SKAGWAY-HOONAH-ANGOON
AK,SOUTHEAST FAIRBANKS
AK,VALDEZ-CORDOVA
AK,WADE HAMPTON
AK,WRANGELL
AK,WRANGELL-PETERSBURG
AK,YAKUTAT
AK,YUKON-KOYUKUK
AL,AUTAUGA
AL,BALDWIN
AL,BARBOUR
AL,BIBB
AL,BLOUNT
AL,BULLOCK
AL,BUTLER
AL,CALHOUN
AL,CHAMBERS
AL,CHEROKEE
AL,CHILTON
AL,CHOCTAW
AL,CLARKE
AL,CLAY
AL,CLEBURNE
AL,COFFEE
AL,COLBERT
AL,CONECUH
AL,COOSA
AL,COVINGTON
AL,CRENSHAW
AL,CULLMAN
AL,DALE
AL,DALLAS
AL,DEKALB
AL,ELMORE
AL,ESCAMBIA
AL,ETOWAH
AL,FAYETTE
AL,FRANKLIN
AL,GENEVA
AL,GREENE
AL,HALE
AL,HENRY
AL,HOUSTON
AL,JACKSON
AL,JEFFERSON
AL,LAMAR
AL,LAUDERDALE
AL,LAWRENCE
AL,LEE
AL,LIMESTONE
AL,LOWNDES
AL,MACON
AL,MADISON
AL,MARENGO
AL,MARION
AL,MARSHALL
AL,MOBILE
AL,MONROE
AL,MONTGOMERY
AL,MORGAN
AL,PERRY
AL,PICKENS
AL,PIKE
AL,RANDOLPH
AL,RUSSELL
AL,SHELBY
AL,ST. CLAIR
AL,SUMTER
AL,TALLADEGA
AL,TALLAPOOSA
AL,TUSCALOOSA
AL,WALKER
AL,WASHINGTON
AL,WILCOX
AL,WINSTON
AR,ARKANSAS
AR,ASHLEY
AR,BAXTER
AR,BENTON
AR,BOONE
AR,BRADLEY
AR,CALHOUN
AR,CARROLL
AR,CHICOT
AR,CLARK
AR,CLAY
AR,CLEBURNE
AR,CLEVELAND
AR,COLUMBIA
AR,CONWAY
AR,CRAIGHEAD
AR,CRAWFORD
AR,CRITTENDEN
AR,CROSS
AR,DALLAS
AR,DESHA
AR,DREW
AR,FAULKNER
AR,FRANKLIN
AR,FULTON
AR,GARLAND
AR,GRANT
AR,GREENE
AR,HEMPSTEAD
AR,HOT SPRING
AR,HOWARD
AR,INDEPENDENCE
AR,IZARD
AR,JACKSON
AR,JEFFERSON
AR,JOHNSON
AR,LAFAYETTE
AR,LAWRENCE
AR,LEE
AR,LINCOLN
AR,LITTLE RIVER
AR,LOGAN
AR,LONOKE
AR,MADISON
AR,MARION
AR,MILLER
AR,MISSISSIPPI
AR,MONROE
AR,MONTGOMERY
AR,NEVADA
AR,NEWTON
AR,OUACHITA
AR,PERRY
AR,PHILLIPS
AR,PIKE
AR,POINSETT
AR,POLK
AR,POPE
AR,PRAIRIE
AR,PULASKI
AR,RANDOLPH
AR,SALINE
AR,SCOTT
AR,SEARCY
AR,SEBASTIAN
AR,SEVIER
AR,SHARP
AR,ST. FRANCIS
AR,STONE
AR,UNION
AR,VAN BUREN
AR,WASHINGTON
AR,WHITE
AR,WOODRUFF
AR,YELL
AZ,APACHE
AZ,COCHISE
AZ,COCONINO
AZ,GILA
AZ,GRAHAM
AZ,GREENLEE
AZ,LA PAZ
AZ,MARICOPA
AZ,MOHAVE
AZ,NAVAJO
AZ,PIMA
AZ,PINAL
AZ,SANTA CRUZ
AZ,YAVAPAI
AZ,YUMA
CA,ALAMEDA
CA,ALPINE
CA,AMADOR
CA,BUTTE
CA,CALAVERAS
CA,COLUSA
CA,CONTRA COSTA
CA,DEL NORTE
CA,EL DORADO
CA,FRESNO
CA,GLENN
CA,HUMBOLDT
CA,IMPERIAL
CA,INYO
CA,KERN
CA,KINGS
CA,LAKE
CA,LASSEN
CA,LOS ANGELES
CA,MADERA
CA,MARIN
CA,MARIPOSA
CA,MENDOCINO
CA,MERCED
CA,MODOC
CA,MONO
CA,MONTEREY
CA,NAPA
CA,NEVADA
CA,ORANGE
CA,PLACER
CA,PLUMAS
CA,RIVERSIDE
CA,SACRAMENTO
CA,SAN BENITO
CA,SAN BERNARDINO
CA,SAN DIEGO
CA,SAN FRANCISCO
CA,SAN JOAQUIN
CA,SAN LUIS OBISPO
CA,SAN MATEO
CA,SANTA BARBARA
CA,SANTA CLARA
CA,SANTA CRUZ
CA,SHASTA
CA,SIERRA
CA,SISKIYOU
CA,SOLANO
CA,SONOMA
CA,STANISLAUS
CA,SUTTER
CA,TEHAMA
CA,TRINITY
CA,TULARE
CA,TUOLUMNE
CA,VENTURA
CA,YOLO
CA,YUBA
CO,ADAMS
CO,ALAMOSA
CO,ARAPAHOE
CO,ARCHULETA
CO,BACA
CO,BENT
CO,BOULDER
CO,BROOMFIELD
CO,CHAFFEE
CO,CHEYENNE
CO,CLEAR CREEK
CO,CONEJOS
CO,COSTILLA
CO,CROWLEY
CO,CUSTER
CO,DELTA
CO,DENVER
CO,DOLORES
CO,DOUGLAS
CO,EAGLE
CO,EL PASO
CO,ELBERT
CO,FREMONT
CO,GARFIELD
CO,GILPIN
CO,GRAND
CO,GUNNISON
CO,HINSDALE
CO,HUERFANO
CO,JACKSON
CO,JEFFERSON
CO,KIOWA
CO,KIT CARSON
CO,LA PLATA
CO,LAKE
CO,LARIMER
CO,LAS ANIMAS
CO,LINCOLN
CO,LOGAN
CO,MESA
CO,MINERAL
CO,MOFFAT
CO,MONTEZUMA
CO,MONTROSE
CO,MORGAN
CO,OTERO
CO,OURAY
CO,PARK
CO,PHILLIPS
CO,PITKIN
CO,PROWERS
CO,PUEBLO
CO,RIO BLANCO
CO,RIO GRANDE
CO,ROUTT
CO,SAGUACHE
CO,SAN JUAN
CO,SAN MIGUEL
CO,SEDGWICK
CO,SUMMIT
CO,TELLER
CO,WASHINGTON
CO,WELD
CO,YUMA
CT,FAIRFIELD
CT,HARTFORD
CT,LITCHFIELD
CT,MIDDLESEX
CT,NEW HAVEN
CT,NEW LONDON
CT,TOLLAND
CT,WINDHAM
DC,DISTRICT OF COLUMBIA
DE,KENT
DE,NEW CASTLE
DE,SUSSEX
FL,ALACHUA
FL,BAKER
FL,BAY
FL,BRADFORD
FL,BREVARD
FL,BROWARD
FL,CALHOUN
FL,CHARLOTTE
FL,CITRUS
FL,CLAY
FL,COLLIER
FL,COLUMBIA
FL,DESOTO
FL,DIXIE
FL,DUVAL
FL,ESCAMBIA
FL,FLAGLER
FL,FRANKLIN
FL,GADSDEN
FL,GILCHRIST
FL,GLADES
FL,GULF
FL,HAMILTON
FL,HARDEE
FL,HENDRY
FL,HERNANDO
FL,HIGHLANDS
FL,HILLSBOROUGH
FL,HOLMES
FL,INDIAN RIVER
FL,JACKSON
FL,JEFFERSON
FL,LAFAYETTE
FL,LAKE
FL,LEE
FL,LEON
FL,LEVY
FL,LIBERTY
FL,MADISON
FL,MANATEE
FL,MARION
FL,MARTIN
FL,MIAMI-DADE
FL,MONROE
FL,NASSAU
FL,OKALOOSA
FL,OKEECHOBEE
FL,ORANGE
FL,OSCEOLA
FL,PALM BEACH
FL,PASCO
FL,PINELLAS
FL,POLK
FL,PUTNAM
FL,SANTA ROSA
FL,SARASOTA
FL,SEMINOLE
FL,ST. JOHNS
FL,ST. LUCIE
FL,SUMTER
FL,SUWANNEE
FL,TAYLOR
FL,UNION
FL,VOLUSIA
FL,WAKULLA
FL,WALTON
FL,WASHINGTON
GA,APPLING
GA,ATKINSON
GA,BACON
GA,BAKER
GA,BALDWIN
GA,BANKS
GA,BARROW
GA,BARTOW
GA,BEN HILL
GA,BERRIEN
GA,BIBB
GA,BLECKLEY
GA,BRANTLEY
GA,BROOKS
GA,BRYAN
GA,BULLOCH
GA,BURKE
GA,BUTTS
GA,CALHOUN
GA,CAMDEN
GA,CANDLER
GA,CARROLL
GA,CATOOSA
GA,CHARLTON
GA,CHATHAM
GA,CHATTAHOOCHEE
GA,CHATTOOGA
GA,CHEROKEE
GA,CLARKE
GA,CLAY
GA,CLAYTON
GA,CLINCH
GA,COBB
GA,COFFEE
GA,COLQUITT
GA,COLUMBIA
GA,COOK
GA,COWETA
GA,CRAWFORD
GA,CRISP
GA,DADE
GA,DAWSON
GA,DECATUR
GA,DEKALB
GA,DODGE
GA,DOOLY
GA,DOUGHERTY
GA,DOUGLAS
GA,EARLY
GA,ECHOLS
GA,EFFINGHAM
GA,ELBERT
GA,EMANUEL
GA,EVANS
GA,FANNIN
GA,FAYETTE
GA,FLOYD
GA,FORSYTH
GA,FRANKLIN
GA,FULTON
GA,GILMER
GA,GLASCOCK
GA,GLYNN
GA,GORDON
GA,GRADY
GA,GREENE
GA,GWINNETT
GA,HABERSHAM
GA,HALL
GA,HANCOCK
GA,HARALSON
GA,HARRIS
GA,HART
GA,HEARD
GA,HENRY
GA,HOUSTON
GA,IRWIN
GA,JACKSON
GA,JASPER
GA,JEFF DAVIS
GA,JEFFERSON
GA,JENKINS
GA,JOHNSON
GA,JONES
GA,LAMAR
GA,LANIER
GA,LAURENS
GA,LEE
GA,LIBERTY
GA,LINCOLN
GA,LONG
GA,LOWNDES
GA,LUMPKIN
GA,MACON
GA,MADISON
GA,MARION
GA,MCDUFFIE
GA,MCINTOSH
GA,MERIWETHER
GA,MILLER
GA,MITCHELL
GA,MONROE
GA,MONTGOMERY
GA,MORGAN
GA,MURRAY
GA,MUSCOGEE
GA,NEWTON
GA,OCONEE
GA,OGLETHORPE
GA,PAULDING
GA,PEACH
GA,PICKENS
GA,PIERCE
GA,PIKE
GA,POLK
GA,PULASKI
GA,PUTNAM
GA,QUITMAN
GA,RABUN
GA,RANDOLPH
GA,RICHMOND
